epoch,learning_rate,loss,mae,mape,val_loss,val_mae,val_mape
0,0.0010000000474974513,0.039837706834077835,0.15493953227996826,1144221.25,0.07940865308046341,0.20126940310001373,2548295.0
1,0.0010000000474974513,0.024081747978925705,0.12272866815328598,1679590.75,0.05721072480082512,0.17517605423927307,4165447.75
2,0.0010000000474974513,0.022997774183750153,0.11834543198347092,1181711.625,0.05135142058134079,0.16937962174415588,4428661.5
3,0.0010000000474974513,0.022051222622394562,0.1191006451845169,1080588.375,0.051458317786455154,0.18195340037345886,5277969.5
4,0.0010000000474974513,0.021303018555045128,0.11551711708307266,1197821.5,0.05147004500031471,0.19905652105808258,6533443.5
5,0.0010000000474974513,0.020452458411455154,0.11240366101264954,1086447.875,0.04978951811790466,0.19516105949878693,6430509.0
6,0.0010000000474974513,0.02023482881486416,0.11237388104200363,903823.375,0.04876106604933739,0.19322483241558075,6425331.0
7,0.0010000000474974513,0.018660739064216614,0.10813762992620468,1093817.875,0.04405181109905243,0.1813431829214096,6101110.5
8,0.0010000000474974513,0.018821559846401215,0.10674000531435013,1080622.125,0.048987723886966705,0.18795838952064514,5904307.0
9,0.0010000000474974513,0.017979606986045837,0.10643590241670609,929944.0625,0.04789150133728981,0.19078606367111206,6308756.0
10,0.0010000000474974513,0.01768682710826397,0.10491053014993668,889336.4375,0.05126161128282547,0.19390764832496643,6063048.0
11,0.0010000000474974513,0.018440423533320427,0.10732073336839676,1103522.375,0.04709397628903389,0.17844738066196442,5425762.5
12,0.0010000000474974513,0.018542245030403137,0.1069694310426712,1035072.25,0.05169178918004036,0.19876202940940857,6429097.5
13,0.0005000000237487257,0.0177234448492527,0.10458719730377197,990188.9375,0.05308552458882332,0.20021331310272217,6353562.0
14,0.0005000000237487257,0.017250442877411842,0.10321866720914841,1122596.625,0.04843468591570854,0.19052889943122864,6195480.5
15,0.0005000000237487257,0.016463154926896095,0.10058456659317017,1045237.8125,0.041591573506593704,0.17429618537425995,5897087.5
16,0.0005000000237487257,0.016826316714286804,0.10319963842630386,1100846.375,0.037632428109645844,0.16351252794265747,5606473.5
17,0.0005000000237487257,0.01687896065413952,0.1017012745141983,1058126.25,0.0327620692551136,0.14863373339176178,4978257.5
18,0.0005000000237487257,0.01670297607779503,0.10106419026851654,1075345.375,0.02762586437165737,0.13011808693408966,4233864.0
19,0.0005000000237487257,0.01647120527923107,0.1026388481259346,1018021.0625,0.022895492613315582,0.1191709041595459,4501880.0
20,0.0005000000237487257,0.01739269681274891,0.10413363575935364,1024534.5625,0.01864788308739662,0.09886208921670914,3373825.25
21,0.0005000000237487257,0.01614261418581009,0.10107003152370453,1143713.875,0.016075845807790756,0.08984113484621048,2946581.25
22,0.0005000000237487257,0.016864823177456856,0.10206223279237747,1066470.875,0.015961257740855217,0.08903466910123825,2929019.75
23,0.0005000000237487257,0.016503697261214256,0.10151006281375885,1064535.25,0.015852225944399834,0.0902467668056488,3372937.0
24,0.0005000000237487257,0.016379380598664284,0.10277272760868073,1085599.125,0.01553481724113226,0.09091280400753021,3382449.5
25,0.0005000000237487257,0.017050879076123238,0.10223039239645004,1076526.0,0.014906628057360649,0.08866774290800095,3171121.0
26,0.0005000000237487257,0.01580122672021389,0.09925167262554169,1097409.375,0.014894126914441586,0.08943464607000351,3426901.25
27,0.0005000000237487257,0.015773549675941467,0.09965713322162628,1109800.75,0.01511430274695158,0.08928082138299942,3202979.25
28,0.0005000000237487257,0.01605505309998989,0.10005899518728256,1143727.0,0.014947337098419666,0.09121261537075043,3622671.0
29,0.0005000000237487257,0.016068650409579277,0.10066509991884232,913864.875,0.014464961364865303,0.09193234145641327,3684956.5
